Año;Mes;Fecha de Embarque;DUA;Aduana;Región;RUC;Razón Social;Continente;País;Agente de Aduana;Empresa de Transporte;Almacén;Puerto;Vía de transporte;Sector;Subsector;Partida;Descripción Arancelaria;Descripción Comercial;US$ FOB;Peso Bruto (Kg.);Peso Neto (Kg.);Unidad de Medida;Cantidad;FOB US$ / P. Neto (kg.);FOB US$ / Unidades,,,,,,,,,
2025;1;20250101;9112;IAT-LAMBAYEQUE;LAMBAYEQUE;20297939131;COMPLEJO AGROINDUSTRIAL BETA S.A.;AMERICA DEL NORTE;ESTADOS UNIDOS;LIP ADUANAS S.A.;COSMOS AGENCIA MARITIMA SAC;COMPLEJO AGROINDUSTRIAL BETA S.A.;KINGSTON;MARITIMO;AGROPECUARIO Y AGROINDUSTRIAS;FRUTAS;0810400000;ARANDANOS  ROJOS,  MIRTILOS Y DEMAS FRUTOS  DEL  GENERO  VACCINIUM, FRESCOS;ARANDANOS FRESCOS EN CAJAS DE 3.74 KG/VARIEDAD VENTURA/MAGICA SE ACOGE AL DRAWBACK;68,748.00;18,335.52;15,275.52;CAJA                                              ;4080;4.50;16.85,,,,
2025;1;20250101;37195;PISCO;ICA;20297939131;COMPLEJO AGROINDUSTRIAL BETA S.A.;AMERICA DEL NORTE;ESTADOS UNIDOS;DESPACHOS ADUANEROS CHAVIMOCHIC SAC;IAN TAYLOR PERU S.A.C.;COMPLEJO AGROINDUSTRIAL BETA S.A.;GUAYAQUIL;MARITIMO;AGROPECUARIO Y AGROINDUSTRIAS;FRUTAS;0810400000;ARANDANOS  ROJOS,  MIRTILOS Y DEMAS FRUTOS  DEL  GENERO  VACCINIUM, FRESCOS;ARANDANOS FRESCOS EN CAJAS DE 4.08 KG COLD TREATMENT;67,786.07;19,380.00;16,646.40;CAJA                                              ;4080;4.07;16.61,,,,
2025;1;20250101;23392;SALAVERRY;LA LIBERTAD;20461642706;AGRICOLA CERRO PRIETO S.A.;AMERICA DEL NORTE;ESTADOS UNIDOS;TRANSITARIO INTERNACIONAL MULTIMODAL SAC;COSMOS AGENCIA MARITIMA SAC;AGRICOLA CERRO PRIETO S.A.;KINGSTON;MARITIMO;AGROPECUARIO Y AGROINDUSTRIAS;FRUTAS;0810400000;ARANDANOS  ROJOS,  MIRTILOS Y DEMAS FRUTOS  DEL  GENERO  VACCINIUM, FRESCOS;ARANDANO ORGANICO FRESCO EN BANDEJAS CONSUMO HUMANO / COLD TREATMENT DRAWBACK D.S. 104-95 EF;85,223.61;18,640.00;16,703.70;UNIDAD;5600;5.10;15.22,,,,
2025;1;20250101;9218;IAT-LAMBAYEQUE;LAMBAYEQUE;20554556192;AGROVISION PERU S.A.C.;AMERICA DEL NORTE;ESTADOS UNIDOS;LIP ADUANAS S.A.;COSMOS AGENCIA MARITIMA SAC;AGROVISION PERU S.A.C.;KINGSTON;MARITIMO;AGROPECUARIO Y AGROINDUSTRIAS;FRUTAS;0810400000;ARANDANOS  ROJOS,  MIRTILOS Y DEMAS FRUTOS  DEL  GENERO  VACCINIUM, FRESCOS;ARANDANOS FRESCOS EN CAJAS X 3.70KG SE ACOGE AL DRAWBACK;65,302.44;16,320.00;12,832.00;CAJA                                              ;3468;5.09;18.83,,,,
2025;1;20250101;9125;IAT-LAMBAYEQUE;LAMBAYEQUE;20554556192;AGROVISION PERU S.A.C.;AMERICA DEL NORTE;ESTADOS UNIDOS;TRANSITARIO INTERNACIONAL MULTIMODAL SAC;COSMOS AGENCIA MARITIMA SAC;AGROVISION PERU S.A.C.;KINGSTON;MARITIMO;AGROPECUARIO Y AGROINDUSTRIAS;FRUTAS;0810400000;ARANDANOS  ROJOS,  MIRTILOS Y DEMAS FRUTOS  DEL  GENERO  VACCINIUM, FRESCOS;ARANDANO FRESCO EN CAJAS DE 3KG CONSUMO HUMANO / COLD TREATMENT DRAWBACK D.S. 104-95 EF;83,068.80;17,971.00;16,320.00;CAJA                                              ;5440;5.09;15.27,,,,
2025;1;20250101;9226;IAT-LAMBAYEQUE;LAMBAYEQUE;20554556192;AGROVISION PERU S.A.C.;AMERICA DEL NORTE;ESTADOS UNIDOS;TRANSITARIO INTERNACIONAL MULTIMODAL SAC;COSMOS AGENCIA MARITIMA SAC;AGROVISION PERU S.A.C.;KINGSTON;MARITIMO;AGROPECUARIO Y AGROINDUSTRIAS;FRUTAS;0810400000;ARANDANOS  ROJOS,  MIRTILOS Y DEMAS FRUTOS  DEL  GENERO  VACCINIUM, FRESCOS;ARANDANO FRESCO EN CAJAS DE 3.70KG CONSUMO HUMANO / COLD TREATMENT DRAWBACK D.S. 104-95 EF;65,076.48;16,264.00;12,787.00;CAJA                                              ;3456;5.09;18.83,,,,
2025;1;20250101;53383;PAITA;PIURA;20601438586;SOCIEDAD EXPORTADORA VERFRUT SOCIEDAD ANONIMA CERRADA;AMERICA DEL NORTE;ESTADOS UNIDOS;TRANSITARIO INTERNACIONAL MULTIMODAL SAC;COSMOS AGENCIA MARITIMA SAC;SOCIEDAD EXPORTADORA VERFRUT SOCIEDAD ANONIMA CERRADA;KINGSTON;MARITIMO;AGROPECUARIO Y AGROINDUSTRIAS;FRUTAS;0810400000;ARANDANOS  ROJOS,  MIRTILOS Y DEMAS FRUTOS  DEL  GENERO  VACCINIUM, FRESCOS;ARANDANO FRESCO EN CAJAS DE 3.74KG/ VARIEDAD ROCIO CONSUMO HUMANO / COLD TREATMENT DRAWBACK D.S. 104;1,347.43;364.50;302.94;CAJA                                              ;81;4.45;16.63,,,,,,
2025;1;20250101;53383;PAITA;PIURA;20601438586;SOCIEDAD EXPORTADORA VERFRUT SOCIEDAD ANONIMA CERRADA;AMERICA DEL NORTE;ESTADOS UNIDOS;TRANSITARIO INTERNACIONAL MULTIMODAL SAC;COSMOS AGENCIA MARITIMA SAC;SOCIEDAD EXPORTADORA VERFRUT SOCIEDAD ANONIMA CERRADA;KINGSTON;MARITIMO;AGROPECUARIO Y AGROINDUSTRIAS;FRUTAS;0810400000;ARANDANOS  ROJOS,  MIRTILOS Y DEMAS FRUTOS  DEL  GENERO  VACCINIUM, FRESCOS;ARANDANO FRESCO EN CAJAS DE 3.74KG/ VARIEDAD ATLAS CONSUMO HUMANO / COLD TREATMENT DRAWBACK D.S. 104;5,722.42;1,548.00;1,286.56;CAJA                                              ;344;4.45;16.63,,,,
2025;1;20250101;53383;PAITA;PIURA;20601438586;SOCIEDAD EXPORTADORA VERFRUT SOCIEDAD ANONIMA CERRADA;AMERICA DEL NORTE;ESTADOS UNIDOS;TRANSITARIO INTERNACIONAL MULTIMODAL SAC;COSMOS AGENCIA MARITIMA SAC;SOCIEDAD EXPORTADORA VERFRUT SOCIEDAD ANONIMA CERRADA;KINGSTON;MARITIMO;AGROPECUARIO Y AGROINDUSTRIAS;FRUTAS;0810400000;ARANDANOS  ROJOS,  MIRTILOS Y DEMAS FRUTOS  DEL  GENERO  VACCINIUM, FRESCOS;ARANDANO FRESCO EN CAJAS DE 3.74KG/ VARIEDAD KESTREL CONSUMO HUMANO / COLD TREATMENT DRAWBACK D.S. 1;35,515.59;9,607.50;7,984.90;CAJA                                              ;2135;4.45;16.63,,,,
2025;1;20250101;53383;PAITA;PIURA;20601438586;SOCIEDAD EXPORTADORA VERFRUT SOCIEDAD ANONIMA CERRADA;AMERICA DEL NORTE;ESTADOS UNIDOS;TRANSITARIO INTERNACIONAL MULTIMODAL SAC;COSMOS AGENCIA MARITIMA SAC;SOCIEDAD EXPORTADORA VERFRUT SOCIEDAD ANONIMA CERRADA;KINGSTON;MARITIMO;AGROPECUARIO Y AGROINDUSTRIAS;FRUTAS;0810400000;ARANDANOS  ROJOS,  MIRTILOS Y DEMAS FRUTOS  DEL  GENERO  VACCINIUM, FRESCOS;ARANDANO FRESCO EN CAJAS DE 3.74KG/ VARIEDAD VENTURA CONSUMO HUMANO / COLD TREATMENT DRAWBACK D.S. 1;25,285.11;6,840.00;5,684.80;CAJA                                              ;1520;4.45;16.63,,,,
2025;1;20250101;23464;SALAVERRY;LA LIBERTAD;20602822533;HORTIFRUT  PERÚ S.A.C.;AMERICA DEL NORTE;ESTADOS UNIDOS;LIP ADUANAS S.A.;COSMOS AGENCIA MARITIMA SAC;HORTIFRUT  PERÚ S.A.C.;KINGSTON;MARITIMO;AGROPECUARIO Y AGROINDUSTRIAS;FRUTAS;0810400000;ARANDANOS  ROJOS,  MIRTILOS Y DEMAS FRUTOS  DEL  GENERO  VACCINIUM, FRESCOS;ARANDANOS FRESCOS EN CAJAS DE 8X18 OZ/12XPINTA/12X6OZ SE ACOGE AL DRAWBACK;57,170.40;16,145.58;12,831.60;CAJA                                              ;5712;4.46;10.01,,,,
